cost_CNY,carbon_tCO2,renewable_utilization,renewable_used_MWh,network_latency_ms,service_objective,service_quality,migration_count,schedule_sha256,full_task_audit_passed,max_constraint_residual,balanced_full_score,Scheme,scheme,PassID,base_candidate_count,attempted,feasible,no_change,accepted,rejected,objective_before,objective_after,relative_improvement,accepted_rate,attempted_candidates,feasible_candidates,accepted_improvements,checked_candidates,task_coverage_rate,alternative_task_coverage_rate,context_full_recompute_residual,context_full_recompute_relative_residual,termination_reason,converged_by_this_pass,max_auxiliary_relative_change
-438711529.9645332,1.7545486507946486,0.68643668391257,7928871.129680634,16.88651587097412,140.93201977622377,0.0070456265018749385,16888,5b2059e2803ea4127fc8b369bb8e5ac7cd5753f557057541fca2eb554b24a4c5,True,1.3642420526593924e-12,-109.22721373238316,balanced,balanced,1,120000,120000,56636,50000,18219,101781,0.0,-109.22721373238316,1.0,0.151825,120000,56636,18219,120000,1.0,0.99024,1.4901161193847656e-06,1.2203718530730525e-13,pass_completed,False,
-439266012.26472723,0.42753997166727425,0.6866506362089019,7931342.443095654,16.988772848307878,133.0810223898547,0.007458177019954356,16946,51e98b996bafb52cf16ee7158efeb6be827891f19546368884e984173d8e5c46,True,1.3642420526593924e-12,-113.19956688918484,balanced,balanced,2,120000,120000,56323,49620,795,119205,-109.22721373238316,-113.19956688918484,0.03509159324514337,0.006625,240000,112959,19014,240000,1.0,0.99024,1.430511474609375e-06,7.883790553618719e-14,pass_completed,False,0.7563248123820117
-439294786.93367064,0.42753997166727425,0.686664777264818,7931505.783156906,16.997428055754305,131.52490029293193,0.0075457517627978464,16933,4c3980238cd842083c00a65d2cfea1df71146f2c28112ac0bb362b2f9425f0c4,True,1.3642420526593924e-12,-113.50748436317554,balanced,balanced,3,120000,120000,54337,49924,131,119869,-113.19956688918484,-113.50748436317554,0.002712750403361018,0.0010916666666666666,360000,167296,19145,360000,1.0,0.99024,1.3113021850585938e-06,5.709006579159484e-14,pass_completed,False,0.011693042846967134
-439303692.0344294,0.42753997166727425,0.686667834373386,7931541.095109827,16.999296036608126,131.53858508075297,0.007544972653742463,16925,e7e91ddf20c26543156578080511378498de1189c97ba43ab095a0e0b646dd91,True,1.3642420526593924e-12,-113.55839951377313,balanced,balanced,4,120000,120000,53379,49979,29,119971,-113.50748436317554,-113.55839951377313,0.00044836093865002036,0.00024166666666666667,480000,220675,19174,480000,1.0,0.99024,1.3709068298339844e-06,5.844102400540103e-14,pass_completed,False,0.0001040363009274687
-439303696.1843225,0.42753997166727425,0.6866683391770335,7931546.925979827,16.998674454065213,131.47593098782644,0.007548541025855424,16924,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,1.3642420526593924e-12,-113.56698755512662,balanced,balanced,5,120000,120000,53191,49996,8,119992,-113.55839951377313,-113.56698755512662,7.562093120874733e-05,6.666666666666667e-05,600000,273866,19182,600000,1.0,0.99024,1.430511474609375e-06,5.368159184342523e-14,main_objective_and_accepted_rate_stable,True,0.0004763172181611789
-439302951.1758678,0.42753997166727425,0.6866682637852235,7931546.055146493,16.99850188482582,131.43139797293193,0.00755107939134187,16923,064ed087cc602725e45ed5ff1d48d4a1167e4dada236ffc02f5a932de6ba0ee6,True,1.3642420526593924e-12,-113.56718375796838,balanced,balanced,6,120000,120000,53287,49999,1,119999,-113.56698755512662,-113.56718375796838,1.7276367632910198e-06,8.333333333333334e-06,720000,327153,19183,720000,1.0,0.99024,1.430511474609375e-06,5.368149910113365e-14,pass_completed,True,0.0003387161023308149
-419680013.6301972,0.0,0.6790845106043804,7843947.87885516,5.16819428087031,5.174713345633464,0.16195083788094616,226,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,True,0.0,-0.3184446760142535,carbon_direct,carbon_direct,1,120000,120000,65747,50000,18,119982,14.391601534493985,0.0,1.0,0.00015,120000,65747,18,120000,1.0,0.99024,5.960464477539063e-08,5.394573676653636e-13,pass_completed,False,
-419680013.6301972,0.0,0.6790845106043804,7843947.87885516,5.16819428087031,5.174713345633464,0.16195083788094616,226,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,True,0.0,-0.3184446760142535,carbon_direct,carbon_direct,2,120000,120000,65732,50000,0,120000,0.0,0.0,0.0,0.0,240000,131479,18,240000,1.0,0.99024,5.960464477539063e-08,5.394573676653636e-13,zero_acceptance_full_pass,True,0.0
-419680013.6301972,0.0,0.6790845106043804,7843947.87885516,5.16819428087031,5.174713345633464,0.16195083788094616,226,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,True,0.0,-0.3184446760142535,carbon_direct,carbon_direct,3,120000,120000,65732,50000,0,120000,0.0,0.0,0.0,0.0,360000,197211,18,360000,1.0,0.99024,5.960464477539063e-08,5.394573676653636e-13,pass_completed,True,0.0
-419680013.6301972,0.0,0.6790845106043804,7843947.87885516,5.16819428087031,5.174713345633464,0.16195083788094616,226,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,True,0.0,-0.3184446760142535,carbon_direct,carbon_direct,4,120000,120000,65732,50000,0,120000,0.0,0.0,0.0,0.0,480000,262943,18,480000,1.0,0.99024,5.960464477539063e-08,5.394573676653636e-13,pass_completed,True,0.0
