TaskID,BaseCandidateCount,EffectiveAlternativeCandidateCount,HasAlternativeCandidate
1,3,2,True
2,3,2,True
3,3,2,True
4,3,2,True
5,3,2,True
6,3,2,True
7,3,2,True
8,3,2,True
9,3,2,True
10,3,2,True
11,3,2,True
12,3,2,True
13,3,2,True
14,3,2,True
15,3,2,True
16,3,2,True
17,3,2,True
18,3,2,True
19,3,2,True
20,3,2,True
21,3,2,True
22,3,2,True
23,3,2,True
24,3,2,True
25,3,2,True
26,3,2,True
27,3,2,True
28,3,2,True
29,3,2,True
30,3,2,True
31,3,2,True
32,3,2,True
33,3,2,True
34,3,2,True
35,3,2,True
36,3,2,True
37,3,2,True
38,3,2,True
39,3,2,True
40,3,2,True
41,3,2,True
42,3,2,True
43,3,2,True
44,3,2,True
45,2,1,True
46,3,2,True
47,3,2,True
48,3,2,True
49,3,2,True
50,3,2,True
51,3,2,True
52,3,2,True
53,3,2,True
54,3,2,True
55,3,2,True
56,3,2,True
57,3,2,True
58,3,2,True
59,3,2,True
60,3,2,True
61,3,2,True
62,3,2,True
63,3,2,True
64,3,2,True
65,3,2,True
66,3,2,True
67,3,2,True
68,3,2,True
69,3,2,True
70,3,2,True
71,3,2,True
72,3,2,True
73,3,2,True
74,3,2,True
75,3,2,True
76,3,2,True
77,3,2,True
78,3,2,True
79,3,2,True
80,3,2,True
81,3,2,True
82,3,2,True
83,3,2,True
84,3,2,True
85,3,2,True
86,3,2,True
87,3,2,True
88,3,2,True
89,3,2,True
90,3,2,True
91,2,1,True
92,3,2,True
93,3,2,True
94,3,2,True
95,3,2,True
96,3,2,True
97,3,2,True
98,3,2,True
99,3,2,True
100,3,2,True
101,3,2,True
102,3,2,True
103,3,2,True
104,2,1,True
105,3,2,True
106,3,2,True
107,3,2,True
108,3,2,True
109,3,2,True
110,3,2,True
111,3,2,True
112,3,2,True
113,3,2,True
114,3,2,True
115,3,2,True
116,3,2,True
117,3,2,True
118,3,2,True
119,3,2,True
120,3,2,True
121,3,2,True
122,3,2,True
123,3,2,True
124,3,2,True
125,3,2,True
126,3,2,True
127,3,2,True
128,3,2,True
129,3,2,True
130,3,2,True
131,3,2,True
132,3,2,True
133,3,2,True
134,3,2,True
135,3,2,True
136,3,2,True
137,3,2,True
138,3,2,True
139,3,2,True
140,3,2,True
141,3,2,True
142,3,2,True
143,1,0,False
144,3,2,True
145,3,2,True
146,3,2,True
147,3,2,True
148,3,2,True
149,3,2,True
150,2,1,True
151,3,2,True
152,3,2,True
153,3,2,True
154,3,2,True
155,3,2,True
156,1,0,False
157,3,2,True
158,3,2,True
159,3,2,True
160,3,2,True
161,3,2,True
162,3,2,True
163,3,2,True
164,3,2,True
165,3,2,True
166,3,2,True
167,3,2,True
168,3,2,True
169,3,2,True
170,3,2,True
171,3,2,True
172,3,2,True
173,3,2,True
174,3,2,True
175,3,2,True
176,3,2,True
177,3,2,True
178,3,2,True
179,3,2,True
180,3,2,True
181,3,2,True
182,3,2,True
183,3,2,True
184,3,2,True
185,3,2,True
186,3,2,True
187,3,2,True
188,3,2,True
189,2,1,True
190,3,2,True
191,3,2,True
192,3,2,True
193,3,2,True
194,3,2,True
195,3,2,True
196,3,2,True
197,3,2,True
198,3,2,True
199,3,2,True
200,3,2,True
201,3,2,True
202,1,0,False
203,3,2,True
204,3,2,True
205,3,2,True
206,3,2,True
207,3,2,True
208,3,2,True
209,3,2,True
210,3,2,True
211,3,2,True
212,3,2,True
213,3,2,True
214,3,2,True
215,1,0,False
216,3,2,True
217,3,2,True
218,3,2,True
219,3,2,True
220,3,2,True
221,3,2,True
222,3,2,True
223,3,2,True
224,3,2,True
225,3,2,True
226,3,2,True
227,3,2,True
228,3,2,True
229,3,2,True
230,3,2,True
231,3,2,True
232,3,2,True
233,3,2,True
234,3,2,True
235,2,1,True
236,3,2,True
237,3,2,True
238,3,2,True
239,3,2,True
240,3,2,True
241,3,2,True
242,3,2,True
243,3,2,True
244,3,2,True
245,3,2,True
246,3,2,True
247,3,2,True
248,3,2,True
249,3,2,True
250,3,2,True
251,3,2,True
252,3,2,True
253,3,2,True
254,3,2,True
255,3,2,True
256,3,2,True
257,3,2,True
258,3,2,True
259,3,2,True
260,3,2,True
261,3,2,True
262,3,2,True
263,3,2,True
264,3,2,True
265,3,2,True
266,3,2,True
267,3,2,True
268,3,2,True
269,3,2,True
270,3,2,True
271,3,2,True
272,3,2,True
273,3,2,True
274,3,2,True
275,3,2,True
276,3,2,True
277,3,2,True
278,3,2,True
279,3,2,True
280,3,2,True
281,3,2,True
282,3,2,True
283,3,2,True
284,3,2,True
285,3,2,True
286,3,2,True
287,3,2,True
288,3,2,True
289,3,2,True
290,3,2,True
291,3,2,True
292,3,2,True
293,3,2,True
294,3,2,True
295,3,2,True
296,3,2,True
297,3,2,True
298,3,2,True
299,3,2,True
300,3,2,True
301,3,2,True
302,3,2,True
303,3,2,True
304,3,2,True
305,3,2,True
306,3,2,True
307,1,0,False
308,3,2,True
309,3,2,True
310,3,2,True
311,3,2,True
312,3,2,True
313,3,2,True
314,2,1,True
315,3,2,True
316,3,2,True
317,3,2,True
318,3,2,True
319,3,2,True
