CandidateID,carbon_level,inherited_from_level,origin,storage_policy,schedule_sha256,storage_trajectory_sha256,cost_CNY,carbon_tCO2,renewable_utilization,peak_net_grid_purchase_MW,net_grid_ramp_MW,grid_purchase_ramp_MW,grid_sell_ramp_MW,network_latency_ms,service_quality,mean_wait_h,realtime_sla_rate,on_time_rate,hard_constraints_satisfied,carbon_target_tCO2,feasible_for_current_target,selected,reject_reason,joint_score
8fab31b7b97a526e8d327e332d45db19afcb51b60066142484091a595fc6ea80,0.0,,normal_joint_baseline,cost_min,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,899f4925a928f8b58c3b561afb2cbd8b9f5623903438af761c619cb0c560722a,-407364733.8759143,7450.109168722535,0.8488487334362728,281.1783099899971,136006.26486065675,13117.694221413221,122888.57063924355,16.998674454065213,0.007548541025855424,8.28708,1.0,1.0,True,7430.327517919494,False,False,carbon_target_exceeded,
bd89715e77a13ea47c70b832b2d24168a7f74b3b4d87d9ede18b3f98bd7918de,0.0,,normal_joint_baseline,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,e3a4810eee6259b56202237db81cd2eed53325943daac04c068ebbdb73f3aeb4,-406911354.4463504,7409.303300719493,0.8488491407079736,112.30268953999814,134815.69331425324,11946.707823759876,122868.98549049335,16.998674454065213,0.007548541025855424,8.28708,1.0,1.0,True,7430.327517919494,True,False,higher_joint_score,1075.2343937424305
6c1afa3c6d2bfd204cc3a9c2662efe1afd7991a8d07c6056a7853edbd65d8229,0.0,,normal_joint_baseline,renewable_max,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,c85a891ee3559ff808c08933a7175ecf26a0fa64bffdf837190e140b5273c8b2,-407255436.2878555,7430.327517919494,0.8488491407079736,240.7119399899979,129646.04853111549,13009.409053899879,116636.63947721562,16.998674454065213,0.007548541025855424,8.28708,1.0,1.0,True,7430.327517919494,True,False,higher_joint_score,1096.5485823212655
8b6adc9dd35ad24ac0b13428b9e9e38b01ec9daa1d6ea649a39787314590e33f,0.0,0.0,current_alternating_search,cost_min,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,6df9323ab979a792eef236b826b6769ca8eb2a1f3706a43a8bbcbdae5595ea77,-408868098.695304,6643.165545325169,0.8493357819305528,228.4903429066631,133174.63690198964,11848.989421180178,121325.64748080946,17.474293282972564,0.006446873543667487,10.14394,1.0,1.0,True,7430.327517919494,True,False,higher_joint_score,982.4091168960127
9fb3ff568b0b49d74bc9587bfa59f2498cb7e57002cba5f3f3549d2ef257f1aa,0.0,0.0,current_alternating_search,balanced,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,6c185c2d9fb7481a5bd6ec2b245988d647057977a5da7e6228812990a2389a66,-408554274.83200914,6597.841341368284,0.8493369711610099,102.32153045000214,132484.14478721732,10991.888128245286,121492.25665897202,17.474293282972564,0.006446873543667487,10.14394,1.0,1.0,True,7430.327517919494,True,True,selected,957.9057597895793
7d59bc2466ecc4a2349ae6c66a0a1e6999020e102bcd3f74c52ca2550e5f9594,0.0,0.0,current_alternating_search,renewable_max,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,d91b18f9058807739742faa7bd0cd09794831ac35a30f413630ee915d5f8a158,-408763987.9900742,6611.701670368284,0.8493369711610099,187.59113998999712,127405.28465522971,11722.197914445287,115683.08674078443,17.474293282972564,0.006446873543667487,10.14394,1.0,1.0,True,7430.327517919494,True,False,higher_joint_score,972.0343577009947
8fab31b7b97a526e8d327e332d45db19afcb51b60066142484091a595fc6ea80,0.1,,normal_joint_baseline,cost_min,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,899f4925a928f8b58c3b561afb2cbd8b9f5623903438af761c619cb0c560722a,-407364733.8759143,7450.109168722535,0.8488487334362728,281.1783099899971,136006.26486065675,13117.694221413221,122888.57063924355,16.998674454065213,0.007548541025855424,8.28708,1.0,1.0,True,6687.294766127545,False,False,carbon_target_exceeded,
bd89715e77a13ea47c70b832b2d24168a7f74b3b4d87d9ede18b3f98bd7918de,0.1,,normal_joint_baseline,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,e3a4810eee6259b56202237db81cd2eed53325943daac04c068ebbdb73f3aeb4,-406911354.4463504,7409.303300719493,0.8488491407079736,112.30268953999814,134815.69331425324,11946.707823759876,122868.98549049335,16.998674454065213,0.007548541025855424,8.28708,1.0,1.0,True,6687.294766127545,False,False,carbon_target_exceeded,
6c1afa3c6d2bfd204cc3a9c2662efe1afd7991a8d07c6056a7853edbd65d8229,0.1,,normal_joint_baseline,renewable_max,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,c85a891ee3559ff808c08933a7175ecf26a0fa64bffdf837190e140b5273c8b2,-407255436.2878555,7430.327517919494,0.8488491407079736,240.7119399899979,129646.04853111549,13009.409053899879,116636.63947721562,16.998674454065213,0.007548541025855424,8.28708,1.0,1.0,True,6687.294766127545,False,False,carbon_target_exceeded,
6237bc2228baac6c0ccce130f89ba7eb20e60315cb4473b404190c2a3dae45a6,0.1,0.1,current_alternating_search,cost_min,959b54f601047846ef06aa652275035fd62daf5bfd748b13ccdc698bb605a5a1,1356aa959493cde5e6806a089914fbc2d8eeae889407be15ee5c05135adc33c9,-409272417.90804964,6518.634836038423,0.8494193662584503,259.55700998999635,133633.85975260014,11419.118645113307,122214.74110748683,17.525687858760797,0.006430218468792148,10.21338,1.0,1.0,True,6687.294766127545,True,False,higher_joint_score,969.061562456005
5c7d246ccd4b3f11f07011a832148fdb67059dad25bed86d8da97ba65727defa,0.1,0.1,current_alternating_search,balanced,959b54f601047846ef06aa652275035fd62daf5bfd748b13ccdc698bb605a5a1,1ce97335c8c7632e21e6c69fb59df314c96ade6175192e445a196e5926876c4f,-408952823.37762713,6489.852368807048,0.8494202906903685,106.9032804499998,132850.2914720627,10624.12091233995,122226.17055972276,17.525687858760797,0.006430218468792148,10.21338,1.0,1.0,True,6687.294766127545,True,True,selected,943.1371525744801
3ef04eed028e2908ac72eef2ae6f42bbe41679236af625828c2e973f638d2033,0.1,0.1,current_alternating_search,renewable_max,959b54f601047846ef06aa652275035fd62daf5bfd748b13ccdc698bb605a5a1,674cae5535387a9f983202ad0cef008ea0e3b4e584fca04cdfbbab33b4dcfde7,-409161008.06753063,6503.790169164764,0.8494203188487172,230.27913998999713,127267.6008000334,11327.041977599976,115940.5588224334,17.525687858760797,0.006430218468792148,10.21338,1.0,1.0,True,6687.294766127545,True,False,higher_joint_score,962.7173188634528
8b6adc9dd35ad24ac0b13428b9e9e38b01ec9daa1d6ea649a39787314590e33f,0.1,0.0,inherited_looser_level,cost_min,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,6df9323ab979a792eef236b826b6769ca8eb2a1f3706a43a8bbcbdae5595ea77,-408868098.695304,6643.165545325169,0.8493357819305528,228.4903429066631,133174.63690198964,11848.989421180178,121325.64748080946,17.474293282972564,0.006446873543667487,10.14394,1.0,1.0,True,6687.294766127545,True,False,higher_joint_score,982.4091168960127
