scope,Region,renewable_direct_use_MWh,renewable_charge_MWh,grid_charge_MWh,renewable_sell_MWh,storage_sell_MWh,renewable_curtailment_MWh,renewable_utilization,max_energy_balance_abs_residual_MW,max_source_decomposition_abs_residual_MW
no_action,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
no_action,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
no_action,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
no_action,RegionD,1058115.1812172802,0.0,0.0,418722.3910628267,0.0,448290.4877198932,0.7671373156755642,0.0,0.0
no_action,RegionE,993047.1470770832,0.0,0.0,494126.51209375,0.0,437954.40082916676,0.7725063542894042,0.0,0.0
no_action,RegionF,1036218.2591722733,0.0,0.0,493047.43055640336,0.0,395862.37027132337,0.7943708896584659,0.0,0.0
cost_min,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
cost_min,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
cost_min,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
cost_min,RegionD,1058115.1812172802,11446.276595744683,0.0,418714.9752343149,10006.335000000001,436851.6269526603,0.7730791857282158,5.684341886080802e-14,1.4210854715202004e-14
cost_min,RegionE,993047.1470770832,30976.276595744683,0.0,494093.95985970745,27079.460999999996,407010.6764674646,0.7885799470049464,5.684341886080802e-14,1.4210854715202004e-14
cost_min,RegionF,1036218.2591722733,32137.234042553195,0.0,493046.1326027885,28092.843616666665,363726.434182385,0.8110637719433662,5.684341886080802e-14,1.4210854715202004e-14
carbon_min,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
carbon_min,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
carbon_min,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
carbon_min,RegionD,1058115.1812172802,335.10638297872345,0.0,418722.3910628267,292.95,447955.3813369145,0.7673113853335479,5.684341886080802e-14,1.4210854715202004e-14
carbon_min,RegionE,993047.1470770832,306.3829787234043,0.0,494056.9266146099,267.84000000000003,437717.60332958336,0.7726293577947311,2.842170943040401e-14,1.4210854715202004e-14
carbon_min,RegionF,1036218.2591722733,357.1808510638298,0.0,492982.4126569729,310.72111666666456,395570.20731969,0.7945226525243779,2.842170943040401e-14,1.4210854715202004e-14
renewable_max,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
renewable_max,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
renewable_max,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
renewable_max,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293016,5.684341886080802e-14,1.4210854715202004e-14
renewable_max,RegionE,993047.1470770832,31099.787234042553,0.0,494054.7045405585,27187.434,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14
renewable_max,RegionF,1036218.2591722733,32173.40425531915,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14
peak_min,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
peak_min,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
peak_min,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
peak_min,RegionD,1058115.1812172802,335.10638297872345,0.0,418722.3910628267,292.95,447955.3813369145,0.7673113853335479,5.684341886080802e-14,1.4210854715202004e-14
peak_min,RegionE,993047.1470770832,306.3829787234043,0.0,494056.9266146099,267.84000000000003,437717.60332958336,0.7726293577947311,2.842170943040401e-14,1.4210854715202004e-14
peak_min,RegionF,1036218.2591722733,357.1808510638298,0.0,492982.4126569729,310.72111666666456,395570.20731969,0.7945226525243779,2.842170943040401e-14,1.4210854715202004e-14
ramp_min,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
ramp_min,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
ramp_min,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
ramp_min,RegionD,1058115.1812172802,10752.12765957447,0.0,418289.9748496295,9399.51,437970.7762735159,0.7724978481309362,5.684341886080802e-14,1.4210854715202004e-14
ramp_min,RegionE,993047.1470770832,27923.936170212764,0.0,493513.4126361968,24411.105000000003,410643.5641165072,0.7866928581797789,5.684341886080802e-14,1.4210854715202004e-14
ramp_min,RegionF,1036218.2591722733,30111.702127659577,0.0,492568.85258974106,26322.123616666664,366229.246110326,0.8097636963899814,5.684341886080802e-14,1.4210854715202004e-14
balanced,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0
balanced,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0
balanced,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0
balanced,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14
balanced,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14
balanced,RegionF,1036218.2591722733,32173.404255319154,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14
