scenario_type,parameter,state_count,storage_policy,level,seed,alternation_round,task_candidate_budget,task_candidates_checked,unique_tasks_visited,local_task_moves_accepted,full_task_audit_passed,incumbent_schedule_before_sha256,candidate_schedule_sha256,storage_trajectory_sha256,joint_score_before,joint_score_candidate,improvement,accepted,incumbent_schedule_after_sha256,neighborhood_rebuilt_from_previous_storage
baseline,baseline,21,cost_min,1.0,,1,600,600,93,89,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,8e7ccf5b5ca028518d5c81ce6cd355da44165411ad7347126b8fa16076e1da93,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002838807871529973,-0.002838807871529973,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
baseline,baseline,21,cost_min,1.0,,2,600,600,93,89,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,8e7ccf5b5ca028518d5c81ce6cd355da44165411ad7347126b8fa16076e1da93,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002838807871529973,-0.002838807871529973,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.0,,1,600,600,93,89,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,8e7ccf5b5ca028518d5c81ce6cd355da44165411ad7347126b8fa16076e1da93,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002838807871529973,-0.002838807871529973,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.0,,2,600,600,93,89,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,8e7ccf5b5ca028518d5c81ce6cd355da44165411ad7347126b8fa16076e1da93,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002838807871529973,-0.002838807871529973,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.1,,1,600,600,93,87,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,b48a5cfb77903d3420930743be74c8042b1f04b388fbb91621b5a4e33d488387,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002801792059595163,-0.002801792059595163,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.1,,2,600,600,93,87,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,b48a5cfb77903d3420930743be74c8042b1f04b388fbb91621b5a4e33d488387,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002801792059595163,-0.002801792059595163,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.2,,1,600,600,93,87,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,093f677850433034a1291626956a59df4ca1dbe15a23c2cae8c42ce6ab342690,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002771148001165209,-0.002771148001165209,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.2,,2,600,600,93,87,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,093f677850433034a1291626956a59df4ca1dbe15a23c2cae8c42ce6ab342690,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002771148001165209,-0.002771148001165209,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.3,,1,600,600,93,90,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,3cd8b22a2e3091a5b6a07ccd460503df7f332c8b463c667c81b9df3391b0b9b2,68879fd6e6c6fdc57622fbdd6b647848e6ffb343fa1fed075f11d99e31229945,0.0,0.002779923993054634,-0.002779923993054634,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
carbon_constraint,carbon_reduction,21,cost_min,0.3,,2,600,600,93,90,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,3cd8b22a2e3091a5b6a07ccd460503df7f332c8b463c667c81b9df3391b0b9b2,68879fd6e6c6fdc57622fbdd6b647848e6ffb343fa1fed075f11d99e31229945,0.0,0.002779923993054634,-0.002779923993054634,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
price_spread,price_scale,21,cost_min,0.75,,1,600,600,93,90,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,2a64f001bfd50c8679f0b6ac391ae02eafd6bdb5875ef6ddeab9815044a324ba,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002892076977269302,-0.002892076977269302,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
price_spread,price_scale,21,cost_min,0.75,,2,600,600,93,90,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,2a64f001bfd50c8679f0b6ac391ae02eafd6bdb5875ef6ddeab9815044a324ba,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002892076977269302,-0.002892076977269302,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
price_spread,price_scale,21,cost_min,1.0,,1,600,600,93,89,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,8e7ccf5b5ca028518d5c81ce6cd355da44165411ad7347126b8fa16076e1da93,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002838807871529973,-0.002838807871529973,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
price_spread,price_scale,21,cost_min,1.0,,2,600,600,93,89,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,8e7ccf5b5ca028518d5c81ce6cd355da44165411ad7347126b8fa16076e1da93,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002838807871529973,-0.002838807871529973,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
price_spread,price_scale,21,cost_min,1.25,,1,600,600,93,88,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,f18a776cb02c6962ca1530d815fef3037504a26fd0bca03df70b19e252e7ffd9,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002829486037277428,-0.002829486037277428,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
price_spread,price_scale,21,cost_min,1.25,,2,600,600,93,88,True,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,f18a776cb02c6962ca1530d815fef3037504a26fd0bca03df70b19e252e7ffd9,8d625ed7315e4b99de92fca591c6946da417fc4accc1ef0c4e67d6e24661b444,0.0,0.002829486037277428,-0.002829486037277428,False,a41cb539165c17886e64db1354c578cabd263ef82ee1872e89cc46738df03888,True
