Hour,Region,TaskType,Prediction_GPU,Actual_GPU,FeatureUsesTestTruth,SelectedModel
2376,RegionA,RealTimeInference,7.9830994783729,3.0,False,Huber
2377,RegionA,RealTimeInference,8.71465111390817,20.0,False,Huber
2378,RegionA,RealTimeInference,8.391595618251596,8.0,False,Huber
2379,RegionA,RealTimeInference,8.323657035426425,5.0,False,Huber
2380,RegionA,RealTimeInference,8.277379814163607,0.0,False,Huber
2381,RegionA,RealTimeInference,8.417247305091815,7.0,False,Huber
2382,RegionA,RealTimeInference,8.178460380803935,1.0,False,Huber
2383,RegionA,RealTimeInference,8.479545590785603,17.0,False,Huber
2384,RegionA,RealTimeInference,8.279807387644244,12.0,False,Huber
2385,RegionA,RealTimeInference,8.192080330351752,5.0,False,Huber
2386,RegionA,RealTimeInference,8.212675355826496,6.0,False,Huber
2387,RegionA,RealTimeInference,8.433823447194019,11.0,False,Huber
2388,RegionA,RealTimeInference,8.176140791676586,15.0,False,Huber
2389,RegionA,RealTimeInference,8.457947079225432,14.0,False,Huber
2390,RegionA,RealTimeInference,8.549724367737207,0.0,False,Huber
2391,RegionA,RealTimeInference,8.45749260258921,8.0,False,Huber
2392,RegionA,RealTimeInference,8.69712464013011,6.0,False,Huber
2393,RegionA,RealTimeInference,8.956007322724629,19.0,False,Huber
2394,RegionA,RealTimeInference,8.431011150906041,4.0,False,Huber
2395,RegionA,RealTimeInference,8.820346945004678,12.0,False,Huber
2396,RegionA,RealTimeInference,8.598144445131995,16.0,False,Huber
2397,RegionA,RealTimeInference,9.222849072832034,0.0,False,Huber
2398,RegionA,RealTimeInference,8.891793747183714,15.0,False,Huber
2399,RegionA,RealTimeInference,8.949268411049104,4.0,False,Huber
2376,RegionA,BatchInference,18.110795042084415,11.0,False,Huber
2377,RegionA,BatchInference,16.345219105052863,35.0,False,Huber
2378,RegionA,BatchInference,16.542734515760646,0.0,False,Huber
2379,RegionA,BatchInference,15.194037333926333,38.0,False,Huber
2380,RegionA,BatchInference,15.781091312626227,0.0,False,Huber
2381,RegionA,BatchInference,16.57203071929874,43.0,False,Huber
2382,RegionA,BatchInference,15.651971101251982,19.0,False,Huber
2383,RegionA,BatchInference,15.80749914318042,25.0,False,Huber
2384,RegionA,BatchInference,15.900750508424782,0.0,False,Huber
2385,RegionA,BatchInference,15.603420862635517,0.0,False,Huber
2386,RegionA,BatchInference,15.819391812696031,15.0,False,Huber
2387,RegionA,BatchInference,15.343626010867915,16.0,False,Huber
2388,RegionA,BatchInference,15.175608566606742,85.0,False,Huber
2389,RegionA,BatchInference,16.203013982879018,21.0,False,Huber
2390,RegionA,BatchInference,15.928648881334148,16.0,False,Huber
2391,RegionA,BatchInference,16.064606943806385,34.0,False,Huber
2392,RegionA,BatchInference,16.806700688531247,53.0,False,Huber
2393,RegionA,BatchInference,16.24137611466808,15.0,False,Huber
2394,RegionA,BatchInference,16.69840241831437,16.0,False,Huber
2395,RegionA,BatchInference,16.379597319891726,19.0,False,Huber
2396,RegionA,BatchInference,17.33187917393574,6.0,False,Huber
2397,RegionA,BatchInference,16.268593291802247,46.0,False,Huber
2398,RegionA,BatchInference,16.62965755946096,0.0,False,Huber
2399,RegionA,BatchInference,15.789765594879782,0.0,False,Huber
2376,RegionA,AITraining,12.597448244453632,0.0,False,Huber
2377,RegionA,AITraining,12.21898966961706,0.0,False,Huber
2378,RegionA,AITraining,13.613578034516205,0.0,False,Huber
2379,RegionA,AITraining,15.262616102705373,0.0,False,Huber
2380,RegionA,AITraining,18.324702844638118,122.0,False,Huber
2381,RegionA,AITraining,19.261323941081155,0.0,False,Huber
2382,RegionA,AITraining,16.83296261782984,0.0,False,Huber
2383,RegionA,AITraining,16.322469880267555,0.0,False,Huber
2384,RegionA,AITraining,16.08778386320464,0.0,False,Huber
2385,RegionA,AITraining,16.61308888524288,0.0,False,Huber
2386,RegionA,AITraining,17.277123295246778,0.0,False,Huber
2387,RegionA,AITraining,17.17895284243865,0.0,False,Huber
2388,RegionA,AITraining,16.474849179804988,103.0,False,Huber
2389,RegionA,AITraining,16.657568474693583,0.0,False,Huber
2390,RegionA,AITraining,16.09614991701681,0.0,False,Huber
2391,RegionA,AITraining,15.503079944220298,101.0,False,Huber
2392,RegionA,AITraining,13.98170412942337,0.0,False,Huber
2393,RegionA,AITraining,14.439368416308382,0.0,False,Huber
2394,RegionA,AITraining,14.338520868197865,0.0,False,Huber
2395,RegionA,AITraining,13.392999960402951,0.0,False,Huber
2396,RegionA,AITraining,13.117216116011825,95.0,False,Huber
2397,RegionA,AITraining,12.992345033128554,158.0,False,Huber
2398,RegionA,AITraining,14.305009481428964,0.0,False,Huber
2399,RegionA,AITraining,13.842193432729493,0.0,False,Huber
2376,RegionB,RealTimeInference,8.56848244231741,11.0,False,Huber
2377,RegionB,RealTimeInference,8.006757846794917,6.0,False,Huber
2378,RegionB,RealTimeInference,7.57973144836006,5.0,False,Huber
2379,RegionB,RealTimeInference,7.410476080009982,1.0,False,Huber
2380,RegionB,RealTimeInference,7.582833983274754,9.0,False,Huber
2381,RegionB,RealTimeInference,7.548562923111212,7.0,False,Huber
2382,RegionB,RealTimeInference,7.500813353447227,7.0,False,Huber
2383,RegionB,RealTimeInference,7.497849020529013,9.0,False,Huber
2384,RegionB,RealTimeInference,7.538982722189748,7.0,False,Huber
2385,RegionB,RealTimeInference,7.486437857467592,12.0,False,Huber
2386,RegionB,RealTimeInference,7.444103347665242,18.0,False,Huber
2387,RegionB,RealTimeInference,7.695957336405809,15.0,False,Huber
2388,RegionB,RealTimeInference,7.402048371044087,1.0,False,Huber
2389,RegionB,RealTimeInference,7.439695003868328,0.0,False,Huber
2390,RegionB,RealTimeInference,7.793648686908944,8.0,False,Huber
2391,RegionB,RealTimeInference,7.721226017130989,8.0,False,Huber
2392,RegionB,RealTimeInference,7.83109731446617,3.0,False,Huber
2393,RegionB,RealTimeInference,7.77000874308513,13.0,False,Huber
2394,RegionB,RealTimeInference,8.005345304573533,17.0,False,Huber
2395,RegionB,RealTimeInference,7.8311319788611815,4.0,False,Huber
2396,RegionB,RealTimeInference,7.664559340052795,14.0,False,Huber
2397,RegionB,RealTimeInference,7.585121796929457,7.0,False,Huber
2398,RegionB,RealTimeInference,7.6604208927970365,7.0,False,Huber
2399,RegionB,RealTimeInference,7.838801771184251,1.0,False,Huber
2376,RegionB,BatchInference,16.021542631222683,26.0,False,Huber
2377,RegionB,BatchInference,17.12232798208834,4.0,False,Huber
2378,RegionB,BatchInference,16.099837774172055,18.0,False,Huber
2379,RegionB,BatchInference,17.018203610593176,15.0,False,Huber
2380,RegionB,BatchInference,16.66920369178754,19.0,False,Huber
2381,RegionB,BatchInference,16.75176383296704,4.0,False,Huber
2382,RegionB,BatchInference,17.162819733613333,8.0,False,Huber
2383,RegionB,BatchInference,16.52849791077878,33.0,False,Huber
2384,RegionB,BatchInference,15.853382546588126,0.0,False,Huber
2385,RegionB,BatchInference,16.366692458623163,33.0,False,Huber
