TaskID,StartHour,FinishHour
45986,2395.0,2399.1833333333334
39773,2395.0,2395.5666666666666
40599,2395.0,2395.8333333333335
43993,2396.0,2399.6666666666665
28753,2396.0,2397.75
38786,2396.0,2402.633333333333
27964,2396.0,2402.4166666666665
28656,2396.0,2397.3333333333335
26836,2396.0,2400.5333333333333
15175,2396.0,2398.9166666666665
14578,2396.0,2402.25
38774,2396.0,2396.55
30715,2396.0,2401.3166666666666
49227,2396.0,2401.25
23682,2396.0,2400.616666666667
7874,2396.0,2396.45
48837,2396.0,2399.85
18394,2396.0,2401.4333333333334
14844,2396.0,2400.15
12431,2396.0,2399.2833333333333
5138,2396.0,2401.266666666667
24995,2396.0,2397.05
10504,2396.0,2397.15
40341,2396.0,2402.4333333333334
37857,2396.0,2397.9166666666665
10284,2396.0,2398.2833333333333
20312,2396.0,2400.133333333333
3736,2396.0,2402.6
36157,2396.0,2396.7833333333333
40505,2396.0,2402.3333333333335
14868,2396.0,2402.45
46184,2396.0,2402.5
47435,2397.0,2403.516666666667
3928,2397.0,2400.0333333333333
2648,2397.0,2400.1833333333334
15916,2397.0,2400.383333333333
7165,2397.0,2401.633333333333
38408,2397.0,2399.2833333333333
701,2397.0,2398.75
6392,2397.0,2401.7833333333333
29787,2397.0,2401.1666666666665
46818,2397.0,2399.8333333333335
46028,2397.0,2398.116666666667
27547,2397.0,2397.9666666666667
39629,2397.0,2397.3166666666666
49609,2397.0,2398.1666666666665
20799,2397.0,2400.4
37081,2397.0,2401.45
49575,2397.0,2400.2166666666667
49550,2397.0,2399.0
24255,2397.0,2399.1
21730,2397.0,2401.8166666666666
42220,2397.0,2397.266666666667
34117,2397.0,2397.6666666666665
37758,2398.0,2402.7833333333333
13381,2398.0,2400.0833333333335
40375,2398.0,2399.3333333333335
7530,2398.0,2399.1666666666665
17052,2398.0,2398.55
22360,2398.0,2398.1833333333334
43423,2398.0,2403.5
8745,2398.0,2400.1
22136,2398.0,2399.3166666666666
46823,2398.0,2400.983333333333
48528,2398.0,2399.516666666667
30449,2398.0,2398.266666666667
17421,2398.0,2400.35
17938,2398.0,2402.266666666667
4418,2398.0,2402.233333333333
5272,2398.0,2402.35
8972,2398.0,2402.1
23421,2398.0,2402.4
11780,2398.0,2398.5833333333335
33770,2398.0,2400.3333333333335
19172,2398.0,2401.3166666666666
4886,2398.0,2401.3333333333335
4353,2398.0,2401.7
19289,2398.0,2404.016666666667
2473,2398.0,2403.8333333333335
9572,2398.0,2404.0666666666666
30610,2398.0,2400.6833333333334
1455,2399.0,2401.733333333333
43786,2399.0,2401.1
48579,2399.0,2401.5
39788,2399.0,2403.383333333333
38165,2399.0,2403.75
40966,2399.0,2404.0833333333335
46942,2399.0,2404.7
44439,2399.0,2404.616666666667
15242,2399.0,2403.05
7857,2399.0,2400.2833333333333
49525,2399.0,2402.116666666667
37062,2399.0,2401.4666666666667
42578,2399.0,2402.9166666666665
41451,2399.0,2405.6
7890,2399.0,2403.4166666666665
16844,2399.0,2399.85
9621,2399.0,2400.3333333333335
21400,2399.0,2400.6833333333334
38894,2399.0,2405.15
