Region,Hour,GPU_Utilization_Percent
RegionA,2376,19.407407407407586
RegionA,2377,22.42857142857023
RegionA,2378,20.62169312169389
RegionA,2379,16.997354497354955
RegionA,2380,31.285714285714345
RegionA,2381,34.76455026455066
RegionA,2382,32.383597883600736
RegionA,2383,19.15079365079352
RegionA,2384,14.978835978836504
RegionA,2385,10.26719576719621
RegionA,2386,11.301587301587272
RegionA,2387,9.867724867725348
RegionA,2388,36.761904761901135
RegionA,2389,22.73809523809567
RegionA,2390,21.597883597882937
RegionA,2391,32.26719576719749
RegionA,2392,25.021164021164076
RegionA,2393,25.67989417989367
RegionA,2394,22.70370370370406
RegionA,2395,16.156084656085156
RegionA,2396,29.35714285714348
RegionA,2397,55.75661375661386
RegionA,2398,49.4470899470894
RegionA,2399,26.904761904761905
RegionA,2400,24.95767195767207
RegionA,2401,18.64021164021165
RegionA,2402,10.640211640209975
RegionA,2403,0.6349206349206349
RegionA,2404,0.6349206349206349
RegionA,2405,0.3809523809523232
RegionB,2376,35.50997150997124
RegionB,2377,33.33048433048468
RegionB,2378,16.660968660968976
RegionB,2379,16.170940170940234
RegionB,2380,41.310541310541204
RegionB,2381,49.56980056980061
RegionB,2382,44.34188034188052
RegionB,2383,32.49857549857544
RegionB,2384,37.0940170940171
RegionB,2385,41.578347578348314
RegionB,2386,59.33903133903108
RegionB,2387,51.133903133901796
RegionB,2388,47.00284900284901
RegionB,2389,40.81766381766723
RegionB,2390,31.71794871794867
RegionB,2391,33.86324786324948
RegionB,2392,20.91452991452951
RegionB,2393,18.826210826210726
RegionB,2394,30.00284900284865
RegionB,2395,44.54985754985812
RegionB,2396,42.48433048433079
RegionB,2397,29.071225071224127
RegionB,2398,29.034188034188645
RegionB,2399,31.515669515670083
RegionB,2400,17.18518518518588
RegionB,2401,9.698005698005428
RegionB,2402,5.447293447293779
RegionB,2403,4.700854700854701
RegionB,2404,0.28490028490080316
RegionB,2405,0.0
RegionC,2376,22.441358024691286
RegionC,2377,25.70987654321243
RegionC,2378,29.947530864197706
RegionC,2379,33.41358024691359
RegionC,2380,29.648148148145772
RegionC,2381,34.75925925925889
RegionC,2382,49.629629629629626
RegionC,2383,32.90123456790356
RegionC,2384,16.76543209876509
RegionC,2385,16.709876543209838
RegionC,2386,14.746913580247227
RegionC,2387,31.04938271604927
RegionC,2388,32.01234567901237
RegionC,2389,29.21604938271609
RegionC,2390,12.90123456789986
RegionC,2391,8.777777777778384
RegionC,2392,12.373456790123614
RegionC,2393,14.16666666666633
RegionC,2394,10.074074074073755
RegionC,2395,9.481481481481447
RegionC,2396,8.966049382715433
RegionC,2397,7.410493827161038
RegionC,2398,9.03086419753082
RegionC,2399,19.13580246913625
RegionC,2400,15.925925925926094
RegionC,2401,14.379629629629562
RegionC,2402,12.836419753085314
RegionC,2403,5.003086419753378
RegionC,2404,1.4259259259255554
RegionC,2405,0.0
RegionD,2376,24.278759057969676
RegionD,2377,20.382699275362626
RegionD,2378,27.022192028985984
RegionD,2379,35.570652173913004
RegionD,2380,27.93365036231872
RegionD,2381,31.548913043478418
RegionD,2382,35.4698822463767
RegionD,2383,42.438858695652655
RegionD,2384,32.325634057969694
RegionD,2385,22.638134057971712
RegionD,2386,25.570652173914254
RegionD,2387,38.83605072463774
RegionD,2388,33.25407608695442
RegionD,2389,34.54030797101397
RegionD,2390,54.825634057971044
RegionD,2391,58.45674818840615
RegionD,2392,64.3727355072464
RegionD,2393,39.84148550724765
RegionD,2394,43.7284873188408
RegionD,2395,47.21693840579531
RegionD,2396,49.03985507246279
RegionD,2397,40.181159420288594
RegionD,2398,44.49615036231982
RegionD,2399,33.534873188406216
RegionD,2400,24.63654891304268
RegionD,2401,14.493885869565148
RegionD,2402,11.356431159419692
RegionD,2403,8.355978260869565
RegionD,2404,0.5570652173907977
RegionD,2405,0.0
RegionE,2376,40.78392621870957
RegionE,2377,83.56389986824773
RegionE,2378,98.89163372859362
RegionE,2379,90.05928853754855
RegionE,2380,67.41765480895774
