TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartHour,FinishHour,Duration_h,GPU_Demand,WaitingHour,NetworkLatency_ms,LatestFinishHour
3498,RealTimeInference,RegionB,RegionB,2376,2376.0,2377.1833333333334,1.1833333333333333,2.0,0.0,5.0,2378.0
17820,RealTimeInference,RegionC,RegionC,2376,2376.0,2377.25,1.25,1.0,0.0,5.0,2378.0
49940,RealTimeInference,RegionB,RegionB,2376,2376.0,2377.55,1.55,6.0,0.0,5.0,2378.0
235,RealTimeInference,RegionE,RegionE,2378,2378.0,2378.4666666666667,0.4666666666666667,2.0,0.0,5.0,2379.0
29589,RealTimeInference,RegionE,RegionE,2377,2377.0,2378.016666666667,1.0166666666666666,5.0,0.0,5.0,2379.0
47993,RealTimeInference,RegionC,RegionC,2377,2377.0,2378.4666666666667,1.4666666666666666,4.0,0.0,5.0,2379.0
49049,RealTimeInference,RegionB,RegionB,2377,2377.0,2378.633333333333,1.6333333333333333,3.0,0.0,5.0,2379.0
33742,RealTimeInference,RegionA,RegionA,2376,2376.0,2378.5833333333335,2.5833333333333335,3.0,0.0,5.0,2379.0
3444,RealTimeInference,RegionA,RegionA,2378,2378.0,2379.7166666666667,1.7166666666666666,7.0,0.0,5.0,2380.0
20965,RealTimeInference,RegionA,RegionA,2377,2377.0,2379.633333333333,2.6333333333333333,2.0,0.0,5.0,2380.0
44279,RealTimeInference,RegionB,RegionB,2377,2377.0,2379.85,2.85,1.0,0.0,5.0,2380.0
41926,RealTimeInference,RegionC,RegionC,2376,2376.0,2379.6833333333334,3.683333333333333,6.0,0.0,5.0,2380.0
24568,RealTimeInference,RegionB,RegionB,2378,2378.0,2380.4166666666665,2.4166666666666665,4.0,0.0,5.0,2381.0
28667,RealTimeInference,RegionB,RegionB,2380,2380.0,2381.2,1.2,6.0,0.0,5.0,2382.0
22636,RealTimeInference,RegionF,RegionF,2377,2377.0,2381.1666666666665,4.166666666666667,2.0,0.0,5.0,2382.0
4316,RealTimeInference,RegionA,RegionA,2377,2377.0,2381.366666666667,4.366666666666666,5.0,0.0,5.0,2382.0
6423,RealTimeInference,RegionA,RegionA,2377,2377.0,2381.383333333333,4.383333333333334,7.0,0.0,5.0,2382.0
31600,RealTimeInference,RegionB,RegionB,2376,2376.0,2381.05,5.05,3.0,0.0,5.0,2382.0
7542,RealTimeInference,RegionD,RegionD,2382,2382.0,2382.6833333333334,0.6833333333333333,7.0,0.0,5.0,2383.0
15185,RealTimeInference,RegionA,RegionA,2382,2382.0,2382.883333333333,0.8833333333333333,1.0,0.0,5.0,2383.0
46876,RealTimeInference,RegionB,RegionB,2380,2380.0,2382.85,2.85,3.0,0.0,5.0,2383.0
2508,RealTimeInference,RegionB,RegionB,2378,2378.0,2382.65,4.65,1.0,0.0,5.0,2383.0
13331,RealTimeInference,RegionB,RegionB,2383,2383.0,2383.8166666666666,0.8166666666666667,1.0,0.0,5.0,2384.0
11877,RealTimeInference,RegionC,RegionC,2382,2382.0,2383.383333333333,1.3833333333333333,7.0,0.0,5.0,2384.0
